Date,Close,High,Open,Low
2023.02.20 01:00:00,1.06821,1.06932,1.06841,1.06898
2023.02.20 02:00:00,1.0673,1.06856,1.06791,1.06841
2023.02.20 03:00:00,1.06735,1.06811,1.06759,1.06791
2023.02.20 04:00:00,1.06754,1.06868,1.06838,1.06759
2023.02.20 05:00:00,1.0679,1.06842,1.06818,1.06838
2023.02.20 06:00:00,1.06815,1.06912,1.06867,1.06818
2023.02.20 07:00:00,1.06838,1.06934,1.06909,1.06867
2023.02.20 08:00:00,1.06877,1.06939,1.06907,1.0691
2023.02.20 09:00:00,1.06877,1.07038,1.07018,1.06907
2023.02.20 10:00:00,1.06854,1.07047,1.0693,1.07018
2023.02.20 11:00:00,1.06792,1.06993,1.06794,1.0693
2023.02.20 12:00:00,1.06781,1.0689,1.06883,1.06794
2023.02.20 13:00:00,1.06831,1.06923,1.06853,1.0688
2023.02.20 14:00:00,1.06705,1.06863,1.06713,1.06857
2023.02.20 15:00:00,1.06704,1.06863,1.06806,1.06713
2023.02.20 16:00:00,1.06784,1.06916,1.06887,1.06806
2023.02.20 17:00:00,1.06837,1.06939,1.06862,1.06886
2023.02.20 18:00:00,1.06832,1.06891,1.06885,1.06863
2023.02.20 19:00:00,1.06842,1.06906,1.06856,1.06884
2023.02.20 20:00:00,1.06835,1.06869,1.06836,1.06858
2023.02.20 21:00:00,1.06836,1.06875,1.06874,1.06836
2023.02.20 22:00:00,1.06844,1.06874,1.06844,1.06874
2023.02.20 23:00:00,1.06821,1.0686,1.06853,1.06847
2023.02.21 00:00:00,1.06818,1.06867,1.06837,1.06837
2023.02.21 01:00:00,1.06822,1.06885,1.06823,1.06839
2023.02.21 02:00:00,1.0677,1.06852,1.06771,1.06823
2023.02.21 03:00:00,1.06674,1.06778,1.06737,1.06771
2023.02.21 04:00:00,1.06633,1.06752,1.06635,1.06737
2023.02.21 05:00:00,1.0662,1.06667,1.06667,1.06635
2023.02.21 06:00:00,1.06628,1.06698,1.06686,1.06667
2023.02.21 07:00:00,1.06661,1.06742,1.06738,1.06685
2023.02.21 08:00:00,1.06669,1.06738,1.06714,1.06738
2023.02.21 09:00:00,1.066,1.06725,1.06696,1.06714
2023.02.21 10:00:00,1.06596,1.06881,1.06602,1.06696
2023.02.21 11:00:00,1.06428,1.06751,1.06625,1.06604
2023.02.21 12:00:00,1.06458,1.06679,1.06489,1.06625
2023.02.21 13:00:00,1.06464,1.06609,1.06574,1.06489
2023.02.21 14:00:00,1.06472,1.06648,1.066,1.06574
2023.02.21 15:00:00,1.06517,1.06696,1.06529,1.066
2023.02.21 16:00:00,1.06439,1.06733,1.06489,1.06529
2023.02.21 17:00:00,1.06458,1.06983,1.06854,1.06488
2023.02.21 18:00:00,1.06561,1.06857,1.06564,1.06857
2023.02.21 19:00:00,1.06528,1.06629,1.06607,1.06562
2023.02.21 20:00:00,1.06375,1.06614,1.06428,1.06607
2023.02.21 21:00:00,1.06399,1.06524,1.06486,1.06429
2023.02.21 22:00:00,1.06453,1.06525,1.06456,1.06487
2023.02.21 23:00:00,1.06431,1.06486,1.06465,1.06457
2023.02.22 00:00:00,1.06426,1.0649,1.06468,1.06445
2023.02.22 01:00:00,1.06466,1.06534,1.06514,1.06466
2023.02.22 02:00:00,1.06485,1.06584,1.06579,1.06514
2023.02.22 03:00:00,1.0654,1.0664,1.06577,1.06568
2023.02.22 04:00:00,1.06536,1.06607,1.06561,1.06577
2023.02.22 05:00:00,1.0655,1.06626,1.06596,1.06561
2023.02.22 06:00:00,1.06564,1.066,1.06586,1.06597
2023.02.22 07:00:00,1.06513,1.0659,1.06576,1.06585
2023.02.22 08:00:00,1.06553,1.06601,1.06563,1.06576
2023.02.22 09:00:00,1.06525,1.06636,1.06536,1.06566
2023.02.22 10:00:00,1.06429,1.06578,1.06455,1.06534
2023.02.22 11:00:00,1.06357,1.06507,1.06375,1.06449
2023.02.22 12:00:00,1.0625,1.06422,1.06251,1.06375
2023.02.22 13:00:00,1.06246,1.06362,1.06303,1.0625
2023.02.22 14:00:00,1.06256,1.06479,1.06479,1.06306
2023.02.22 15:00:00,1.06362,1.06506,1.06463,1.06479
2023.02.22 16:00:00,1.06411,1.06605,1.06498,1.06463
2023.02.22 17:00:00,1.0625,1.06576,1.06268,1.06498
2023.02.22 18:00:00,1.06173,1.06341,1.06229,1.06266
2023.02.22 19:00:00,1.06181,1.06346,1.06282,1.06229
2023.02.22 20:00:00,1.06222,1.06361,1.06246,1.06283
2023.02.22 21:00:00,1.05993,1.06342,1.06009,1.06246
2023.02.22 22:00:00,1.05992,1.06072,1.06028,1.0601
2023.02.22 23:00:00,1.06011,1.06055,1.06045,1.06028
2023.02.23 00:00:00,1.06005,1.0605,1.06042,1.06036
2023.02.23 01:00:00,1.06029,1.06083,1.06053,1.06037
2023.02.23 02:00:00,1.06049,1.06121,1.06115,1.06053
2023.02.23 03:00:00,1.06108,1.06216,1.06197,1.06115
2023.02.23 04:00:00,1.06145,1.06247,1.0623,1.06197
2023.02.23 05:00:00,1.06212,1.06247,1.06224,1.0623
2023.02.23 06:00:00,1.06192,1.06245,1.06244,1.06223
2023.02.23 07:00:00,1.06153,1.06246,1.06225,1.06245
2023.02.23 08:00:00,1.06197,1.06278,1.06225,1.06225
2023.02.23 09:00:00,1.06105,1.06242,1.06165,1.06223
2023.02.23 10:00:00,1.06031,1.06178,1.0606,1.06165
